MES_GASTO;USO_DEPENDENCIA;PERIODO;TIPOCOMBUSTIBLE;PRECIOGALON;CANTIDADGALONES;MONTOCONSUMO
1;1;2;2;11.01;2.497;27.49
1;5;2;2;11.01;10.416;114.68
1;1;2;2;11.01;2.972;32.72
1;1;2;1;11.53;16.159;186.31
1;1;2;1;11.53;15.777;181.91
1;1;2;1;11.53;15.971;184.15
1;1;2;1;11.53;13.634;157.2
1;1;2;1;11.53;15.3;176.41
1;1;2;1;11.53;19.01;219.19
1;1;2;1;11.53;18.675;215.32
1;1;2;1;11.53;15.76;181.71
1;1;2;1;11.53;14.731;169.85
1;1;2;1;11.53;16.601;191.41
1;1;2;1;11.53;14.943;172.29
1;1;2;1;11.53;12.768;147.22
1;1;2;1;11.53;17.452;201.22
1;1;2;1;11.53;16.056;185.13
1;1;2;1;11.53;19.847;228.84
1;1;2;1;11.53;9.966;114.91
1;1;2;1;11.53;11.209;129.24
1;6;2;1;11.53;7.975;91.95
1;1;2;1;11.53;13.276;153.07
1;4;2;1;11.53;10.546;121.6
1;4;2;1;11.53;13.069;150.69
1;1;2;1;11.53;12.269;141.46
1;6;2;1;11.53;12.21;140.78
1;1;2;1;11.53;16.044;184.99
1;3;2;1;11.53;16.208;186.88
1;1;2;1;11.53;18.669;215.25
1;2;2;1;11.53;9.414;108.54
1;2;2;1;11.53;19.331;222.89
1;4;2;1;11.53;5.815;67.05
1;2;2;1;11.53;17.086;197
1;3;2;1;11.53;28.483;328.41
1;3;2;1;11.53;28.715;331.08
1;2;2;1;11.53;33.772;389.39
1;5;2;1;11.53;7.462;86.04
1;2;2;1;11.53;17.116;197.35
1;5;2;1;11.53;13.083;150.85
1;3;2;1;11.53;18.902;217.94
1;2;2;1;11.53;14.799;170.63
1;2;2;1;11.53;23.186;267.33
1;3;2;2;11.01;70;770.7
1;1;2;2;11.01;3.138;34.55
1;1;2;2;11.01;2.741;30.18
1;1;2;2;11.01;2.793;30.75
1;1;2;3;16.69;14.476;241.6
1;1;2;2;11.01;3.103;34.16
1;1;2;2;11.01;8.921;98.22
1;3;2;2;11.01;70;770.7
1;1;2;2;11.01;2.668;29.37
1;1;2;2;11.01;2.934;32.3
1;1;2;2;11.01;1.672;18.41
1;5;2;2;11.01;0.989;10.89
1;1;2;2;11.01;1.942;21.38
1;5;2;2;11.01;8.123;89.43
1;1;2;2;11.01;2.733;30.09
1;1;2;2;11.01;1.527;16.81
1;1;2;2;11.01;2.477;27.27
1;1;2;2;11.01;2.581;28.42
1;1;2;2;11.01;1.154;12.71
1;1;2;2;11.01;3.153;34.71
1;1;2;3;16.69;9.727;162.34
1;1;2;1;11.53;12.317;142.02
1;1;2;1;11.53;14.085;162.4
1;1;2;1;11.53;9.059;104.45
1;6;2;1;11.53;6.783;78.21
1;1;2;1;11.53;8.658;99.83
1;1;2;1;11.53;10.597;122.18
1;1;2;1;11.53;12.552;144.72
1;1;2;1;11.53;14.805;170.7
1;1;2;1;11.53;10.642;122.7
1;1;2;1;11.53;7.633;88.01
1;1;2;1;11.53;7.618;87.84
1;1;2;1;11.53;8.472;97.68
1;1;2;1;11.53;9.51;109.65
